,articles
0,"Myrthe Hilkens (born 31 January 1979 in Geleen) is a Dutch journalist, non-fiction writer, and politician. As a member of the Labour Party (Partij van de Arbeid), she was a temporary member of the House of Representatives of the Netherlands from April till August 2011, replacing Nebahat Albayrak, who was on maternity leave. As an MP, she dealt with matters of the European Union. On 17 January 2012, she became an MP once again, but she left parliament on 29 August 2013.
Hilkens grew up in Geleen, and later in Breda. She was partially raised as a Catholic, but renounced religion. She studied journalism at Fontys Academy of Journalism in Tilburg, and works as a freelance journalist and non-fiction writer. In 2003, she lived for half a year in an Israeli kibbutz.
Hilkens opposes the influence of pornography on society, and wrote a book about the subject called McSex, de pornoficatie van de samenleving (2008).


== References ==
(in Dutch) Parlement.com biography
(in Dutch) 'Yo, ouders, denk eens na!', NRC Handelsblad, 22 November 2008


== External links ==
(in Dutch) House of Representatives biography"
1,"Daniëlle Hirsch (born 5 April 1968) is a Dutch economist and politician of GroenLinks, who has been serving in the Dutch House of Representatives since 2023.


== Career ==
Hirsch was born in 1968 in Amstelveen. At the age of 20, while studying economics, she moved to Ciudad Nezahualcóyotl, located near Mexico City, with a Mexican friend she had met while working in Israel. In an interview, she told that her one year of experience in the slums transformed her worldview, and de Volkskrant wrote that she had been involved in the fight against economic inequality ever since. Hirsch completed her studies, and she subsequently advised organizations including the United Nations and the World Bank on water management and international economic relations. She served for fifteen years as director of Both Ends, an NGO advocating for the environment and fair labor practices. The organization was among the plaintiffs of Milieudefensie v Royal Dutch Shell, a 2021 case in which the district court of The Hague ordered oil and gas company Shell to reduce its carbon emissions. Hirsch was also on an advisory council of the ABN AMRO Bank starting in 2019.Hirsch first ran for the House of Representatives in the 2017 general election, appearing 41st on the GroenLinks's party list. She was the 16th candidate four years later but was again not elected. At the time, Hirsch was writing opinion pieces for De Helling, the magazine of the party's think tank. She criticized the government's climate policy and its measures to tackle the nitrogen crisis in the Netherlands. In the 2023 general election, she was the 27th candidate on the shared GroenLinks–PvdA list. Her party received only 25 seats, but Hirsch was elected due to her 25,012 preference votes. She was the only candidate elected due to meeting the preference vote threshold in the election cycle.


== Personal life ==
Hirsch has one child.


== Electoral history ==


== Notes ==


== References ==


== See also ==
List of members of the House of Representatives of the Netherlands, 2023–present"
2,"Maria Josephina Arnoldina van der Hoeven (born 13 September 1949) is a retired Dutch politician of the Christian Democratic Appeal (CDA) party and nonprofit director.
Van der Hoeven attended a Lyceum in Maastricht from April 1966 until May 1969 and applied at the Open University in Heerlen in July 1970 majoring in Education obtaining a Bachelor of Education degree in June 1972. Van der Hoeven worked as a economics teacher in Maastricht from June 1969 until February 1987, and served as an education administrator for the Adult Commercial Vocational Training Centre in Maastricht from September 1981 until February 1987. Van der Hoeven served on the Municipal Council of Maastricht from April 1974 until June 1991. Van der Hoeven worked as Chairwoman of the Supervisory board of the Limburg Technology Centre from February 1987 until June 1991.
Van der Hoeven became a Member of the House of Representatives after Huib Eversdijk was elected as a Member of the Senate after the Senate election of 1991, taking office on 11 June 1991 serving as a frontbencher chairing the parliamentary committee for Education, Culture and Science and spokesperson for Education, Social Work, Culture and deputy spokesperson for the Interior, Economic Affairs, Social Affairs, Ombudsman and Equality.
After the election of 2002 Van der Hoeven was appointed as Minister of Education, Culture and Science in the Cabinet Balkenende I, taking office on 22 July 2002. The Cabinet Balkenende I fell just four months later on 16 October 2002 after tensions in the coalition over the stability of the Pim Fortuyn List (LPF) and continued to serve in a demissionary capacity. After the election of 2003 Van der Hoeven returned as a Member of the House of Representatives, taking office on 30 January 2003. Following the cabinet formation of 2003 Van der Hoeven continued as Minister of Education, Culture and Science in the Cabinet Balkenende II, taking office on 27 May 2003. The Cabinet Balkenende II fell on 30 June 2006 after the Democrats 66 (D66) had lost confidence in the functioning of Minister of Integration and Asylum Affairs Rita Verdonk and continued to serve in a demissionary capacity until it was replaced by the caretaker Cabinet Balkenende III with Van der Hoeven remaining as Minister of Education, Culture and Science, taking office on 7 July 2006. After the election of 2006 Van der Hoeven again returned as a Member of the House of Representatives, taking office on 30 November 2006. Following the cabinet formation of 2006 Van der Hoeven was appointed as Minister of Economic Affairs in the Cabinet Balkenende IV, taking office on 22 February 2007. The Cabinet Balkenende IV fell on 20 February 2010 after tensions in the coalition over the extension of the Dutch involvement in the Task Force Urozgan of the International Security Assistance Force (ISAF) in Afghanistan and continued to serve in a demissionary capacity. In May 2010 Van der Hoeven announced that she wouldn't stand for the election of 2010. Following the cabinet formation of 2010 Van der Hoeven was not giving a cabinet post in the new cabinet, the Cabinet Balkenende IV was replaced by the Cabinet Rutte I on 14 October 2010.


== Biography ==


=== Early life ===
After completing her secondary education she trained as a primary-school teacher in Maastricht. She went on to gain a secondary teaching certificate in English, after which she attended courses in higher management for non-profit organisations at the Institute of Social Sciences and business management at the Open University in Heerlen. From 1969 she taught at home economics schools and from 1971 at a junior secondary commercial school, where she later became a school counsellor. Until 1987 she was head of the Adult Commercial Vocational Training Centre in Maastricht, after which she served as the head of the Limburg Technology Centre until 1991.


=== Politics ===
From 1985 to 1991, Van der Hoeven was a member of the municipal council of Maastricht. From 1991 to 2002, Member of the House of Representatives and Minister of Education, Culture and Science from 2002 to 2007. In 2005, she caused an uproar in a debate about the teaching of Intelligent Design in the country's schools. Van der Hoeven said that Charles Darwin's theories were incomplete and that new things had been discovered by proponents of intelligent design. The then Dutch Minister of Education later announced that she did not intend to introduce the creationist ideas into the school curricula but only wanted to confront their adherents with the supporters of the theory of evolution.Minister of Economic Affairs from 2007 to 2010, she has held a variety of social and cultural posts, including membership of the governing board of the Domstad Primary Teacher Training College in Utrecht and the Southern Dutch Opera Association, and membership of the ‘’t Vervolg’ theatre group.
On 11 March 2011, Van der Hoeven was appointed Executive Director of the International Energy Agency. Her opponents have voiced concerns that she lacks expertise on energy matters, while her supporters point out that her work as Minister of Economic Affairs included many energy issues, and that she has extensive contacts with major OPEC members. She took over from Nobuo Tanaka on 1 September 2011. On 1 September 2015, she was succeeded by Fatih Birol.


== Later career ==
Since October 2016, van der Hoeven has been Vice Chairwoman of the High-level Panel of the European Decarbonisation Pathways Initiative within the European Commission. In addition, she holds several board memberships.


=== Corporate boards ===
Innogy, Member of the Supervisory Board (since 2016)
Total S.A., Independent Member of the Board of Directors (since 2016)


=== Non-profit organizations ===
Rocky Mountain Institute (RMI), Board de Trustees (since 2015)


== Personal life ==
Van der Hoeven was married to Lou Buytendijk, who was diagnosed with Alzheimer's disease in 2005 and succumbed to his illness in 2012. Because of her husband's illness she is active in the Dutch Alzheimer's Foundation and currently serves as its president.


== Decorations ==


== See also ==

Creation and evolution in public education
Politics of the Netherlands
World Energy Outlook


== References ==


== External links ==

Official(in Dutch) M.J.A. (Maria) van der Hoeven Parlement & Politiek"
3,"Guus ""Guusje"" ter Horst (born 22 March 1952) is a retired Dutch politician of the Labour Party (PvdA) and psychologist. She is a member of the supervisory board of Royal Dutch Shell since 1 January 2013 and chairwoman of the supervisory board of the Institute for Sound and Vision since 11 July 2011.


== Biography ==
Ter Horst attended school in The Hague and subsequently studied at University of Amsterdam where she obtained a MSc degree in psychology. In 1984 she received a PhD degree in social science on her thesis concerning the question how people who never go to the dentist can be made to do so. Between 1986 and 1994 she was associate professor of Social Dentistry at the subfaculty of Dentistry of the University of Amsterdam.
In 1984 Ter Horst joined the Labour Party (PvdA). In 1986 she was elected to the Amsterdam municipal council. In 1994 she became alderwoman, responsible for spatial planning, she initiated a major renovation of the city of Amsterdam.
In 2001 she became mayor of Nijmegen. During her six-year term, she moved to a new house every year, to get to know the city. In August 2006 Ter Horst was fined for drunk driving, strangely, without political consequence. On 1 January 2007 her term as mayor ended and she did not pursue a second one. She was succeeded by Thom de Graaf.
In 2010 Ter Horst received one of the Dutch Big Brother Awards for her lack of nuance in the privacy debate. Her project of a centrally organised fingerprint database for passports won an award as well. She resigned, together with all PvdA ministers, on the morning of 20 February 2010. The Queen accepted the resignation on 23 February 2010.


== Decorations ==


== References ==


== External links ==

Official(in Dutch) Dr. G. (Guusje) ter Horst Parlement & Politiek
(in Dutch) Dr. G. ter Horst (PvdA) Eerste Kamer der Staten-Generaal"
4,"Alexandra Carla van Huffelen (born 21 July 1968) is a Dutch politician serving as State Secretary for Finance since 29 January 2020. A member of the Democrats 66 (D66) party, she was a member of the Senate from 2015 to 2020 and Director of the Gemeente Vervoerbedrijf from 2014 until 2020. She started her political career as an alderwoman in Rotterdam, holding the public space planning portfolio.


== Electoral history ==


== Notes ==


== References ==


== External links ==

Official(in Dutch) Drs. A.C. (Alexandra) van Huffelen Parlement & Politiek
(in Dutch) Drs. A.C. van Huffelen (D66) Eerste Kamer der Staten-Generaal"
5,"Johanna Catharina ""Tineke"" Huizinga-Heringa (born 16 February 1960) is a Dutch politician of the Christian Union (CU).
Huizinga grew up in Amersfoort; both of her parents were teachers. After attending gymnasium, she began to study law at the University of Utrecht. She became involved in the Christian student's association Ichtus, where she met her future husband. They married in 1982. After passing her candidate exams (roughly equivalent of a bachelor's degree), she stopped her studies and moved to Heerenveen. She became a housewife and mother of three children.
She volunteered as translator at a Christian foundation, Open Doors, which advocates the interest of persecuted Christians worldwide. She became involved in the cases of asylum seekers and refugees and worked as a volunteer for VluchtenlingenWerk Nederland. Because of her involvement with social and religious issues, the Reformatory Political Federation asked her to become their top candidate in Heerenveen for the 1998 municipal elections. She was elected into the Heerenveen municipal council.
In 2002 she was elected member of House of Representatives. She was elected on basis of preference votes. The ChristianUnion only got four seats and she was seventh candidate, but because so many voters voted for her she entered parliament at the cost of prominent GPV leader Eimert van Middelkoop. She was member of the parliamentary research committee into the Srebrenica massacre. In the 2003 elections she was re-elected, again with preference votes, now at the cost of Leen van Dijke. She was fourth candidate and the ChristianUnion only got three seats. In parliament she had been occupied with foreign affairs, international development, migration, integration, spatial planning and the environment. She was secretary of the parliamentary party.
On 22 February 2007, she became State Secretary for Transport and Public Works in the fourth Balkenende cabinet. The later MP Pieter Grinwis became Huizinga's political assistant. Her portfolio included all subjects related to water: primary water defenses, dikes, coastal protection, Room for the River, waterways, inland navigation, maritime shipping, regional seaports and KNMI. In addition, Huizinga was responsible for market forces in public transport, social safety and cab policy.
As Secretary of State for Transport, Public Works and Water Management, Huizinga survived a motion of no confidence in April 2008 over the (supposedly failed) introduction of a MIFARE-based nationwide public transport payment system.


== Decorations ==


== References ==


== External links ==

Official(in Dutch) J.C. (Tineke) Huizinga-Heringa Parlement & Politiek"
6,"Kirsten Auke Elisabeth van den Hul (Dutch pronunciation: [ˈkɪrstə(ɱ) vɑn dən ˈɦʏl]; born 18 August 1976 in Deventer) is a Dutch columnist and politician. She was elected to the House of Representatives for the Labour Party during the 2017 general election. Since October, 2022 she serves as Director of DutchCulture,  a Dutch organisation for international cultural cooperation.


== References ==


== External links ==
Kirsten van den Hul at the website of the House of Representatives
(in Dutch) Kirsten van den Hul at the website of the Labour Party"
7,"Lutske (Lutz) Jacobi (born December 13, 1955, in Katlijk) is a Dutch politician and former civil servant. As a member of the Labour Party (Partij van de Arbeid) she was an MP between November 30, 2006, and March 23, 2017. She focused on matters of natural environment, rural area, agriculture, horticulture, fishery, recreation and the Wadden Sea.


== References ==


== External links =="
8,"Silveria Elfrieda Jacobs (born 31 July 1968) is a Sint Maarten politician and the Prime Minister of Sint Maarten as of 2019.


== Early life and education ==
Silveria Elfrieda Jacobs was born on 31 July 1968 on Aruba to Nadia Willemsberg. As a child, Jacobs attended the Leonald Conner School and Milton Peters College on Sint Maarten. After receiving her HAVO diploma in 1986, Jacobs enrolled at the University of the Virgin Islands where she obtained a bachelor's degree in Education. Between 1992 and 2011, Jacobs worked at the Leonard Conner primary school in Philipsburg, first as a teacher and later as a student coordinator.


== Career ==
In 2010, Jacobs joined the National Alliance (NA). Between 2012 and 2013, she served as Minister of Education, Youth, Sport and Culture in the second Wescot-Williams cabinet. She also held this office from 2015 to 2018 in the first and second Marlin cabinets.In 2014, she was elected a member of parliament. On 3 January 2018, she succeeded William Marlin as the NA party leader, the first woman in this position. In the previous three elections Jacobs, finished overall as the second largest vote getter behind Theodore Heyliger.After the fall of the second Marlin-Romeo cabinet, a coalition agreement was reached between the National Alliance, the United St. Maarten Party and independent MPs Luc Mercelina and Chanel Brownbill. Jacobs was appointed by Governor Eugene Holiday on 30 September 2019 to form an interim cabinet that should, among other things, give priority to the completion of anti-money laundering legislation and the preparation of state elections and electoral reforms. The first Jacobs cabinet was sworn in on 19 November 2019.Jacobs addressed the 2020 coronavirus pandemic in Sint Maarten. She ordered an extension to travel restrictions on 11 March 2020. The second Jacobs cabinet was sworn in on 28 March 2020. The second Jacobs cabinet consisted of Minister of Housing, Spatial Planning and Development (VROMI) Egbert Jurendy Doran; Minister of Education, Culture, Youth and Sport Rodolphe Samuel; Minister of Finance Ardwell Irion; Minister of Justice Anna Richardson; Minister of Labor and Health (VSA) Omar Ottley, Minister of Plenipotentiary Renee Violenus; Minister Tourism, Economic Affairs, Traffic, and Telecommunications (TEATT) Arthur Leo Lambriex. The position of Minister of TEATT was held by Richard Pannefleck, who was succeeded by Member of Parliament Ludmila de Weever. Upon MP de Weever's return to Parliament, Roger Lawrence was appointed Minister of TEATT. Subsequent to Mr. Lawrence's resignation, Arthur Leo Lambriex took on and remained in the Ministerial position for the remainder of the Jacobs 2 Cabinet tenure. 


== See also ==
List of Sint Maarten leaders of government


== References =="
9,"Tanja Malti Jadnanansing (born 26 April 1967) is a Dutch politician and former television presenter and communication employee. As a member of the Labour Party (Partij van de Arbeid), she was an MP from 17 June 2010 to 7 September 2016. She was replaced by Amma Asante. Jadnanansing focused on matters of higher education and science policy.
Jadnanansing studied law at VU University Amsterdam. She worked among others for the Netherlands Public Broadcasting (NPO), the Netherlands Broadcasting Foundation (NOS), the Multicultural Television Netherlands (MTNL) and the Foundation Hindu Media (OHM).
Tanja Jadnanansing is an Indo-Surinamese as well as a Hindu. She is married and lives in Amsterdam. Since 2018, Jadnanansing has been chairman of the Executive Board of the Amsterdam-Zuidoost district.


== References ==

(in Dutch) Parlement.com biography


== External links ==
(in Dutch) House of Representatives biography"
